ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
FLL,ATL,581,1/07/2007,26.07258,-80.15275
ATL,DAL,721,1/10/2007,33.64044,-84.42694
PIT,RSW,966,1/11/2007,40.49147,-80.23287
RIC,MCO,667,1/03/2007,37.50517,-77.31967
PHL,ATL,666,1/01/2007,39.87195,-75.24114
EWR,FLL,1065,1/05/2007,40.6925,-74.16866
CMH,PHX,1670,1/04/2007,39.99799,-82.89188
DTW,PHX,1671,1/07/2007,42.21206,-83.34884
SJC,ORD,1829,1/04/2007,37.36186,-121.92901
ABQ,DFW,569,1/03/2007,35.04022,-106.60919
PSP,DFW,1126,1/02/2007,33.82922,-116.50625
TPA,LAX,2158,1/06/2007,27.97547,-82.53325
DFW,IAH,224,1/03/2007,32.89595,-97.0372
BNA,DFW,631,1/11/2007,36.12448,-86.67818
PDX,SFO,550,1/11/2007,45.58872,-122.5975
SEA,LAS,867,1/07/2007,47.44898,-122.30931
SEA,PHX,1107,1/04/2007,47.44898,-122.30931
BUF,FLL,1165,1/10/2007,42.94052,-78.73217
FLL,MSP,1487,1/06/2007,26.07258,-80.15275
IAH,ATL,689,1/12/2007,29.98047,-95.33972
ATL,BDL,859,1/12/2007,33.64044,-84.42694
RAP,DFW,835,1/11/2007,44.04532,-103.05737
DFW,CRP,354,1/12/2007,32.89595,-97.0372
MEI,DFW,485,1/05/2007,32.33313,-88.75121
CVG,FLL,932,1/12/2007,39.04614,-84.66217
DBQ,ORD,147,1/09/2007,42.40296,-90.70917
GCK,DFW,404,1/12/2007,37.92752,-100.72441
GNV,MIA,294,1/11/2007,29.69006,-82.27178
DTW,DFW,986,1/07/2007,42.21206,-83.34884
ORD,LAX,1744,1/09/2007,41.9796,-87.90446
SLC,LAX,590,1/01/2007,40.78839,-111.97777
BRD,MSP,114,1/02/2007,46.39786,-94.13723
SAT,DTW,1214,1/02/2007,29.53369,-98.46978
TUS,DEN,639,1/06/2007,32.11608,-110.94103
MCO,CLE,895,1/02/2007,28.42889,-81.31603
HNL,LIH,102,1/07/2007,21.31869,-157.92241
IAH,EWR,1400,1/08/2007,29.98047,-95.33972
IAH,MCO,854,1/02/2007,29.98047,-95.33972
IAH,GPT,376,1/05/2007,29.98047,-95.33972
DIK,DEN,488,1/02/2007,46.79739,-102.80195
TPA,JFK,1005,1/08/2007,27.97547,-82.53325
BTV,LGA,258,1/01/2007,44.473,-73.15031
IAH,LAX,1379,1/06/2007,29.98047,-95.33972
LGA,IAH,1416,1/04/2007,40.77724,-73.87261
ATL,SFO,2139,1/03/2007,33.64044,-84.42694
JFK,MCO,944,1/08/2007,40.63975,-73.77893
LGA,TPA,1010,1/05/2007,40.77724,-73.87261
BNA,SLC,1404,1/10/2007,36.12448,-86.67818
CLT,PHX,1773,1/10/2007,35.21401,-80.94313
CLT,PHL,449,1/10/2007,35.21401,-80.94313
PHX,CLT,1773,1/09/2007,33.43417,-112.00806
LAX,JFK,2475,1/01/2007,33.94254,-118.40807
LAS,BUR,223,1/09/2007,36.08036,-115.15233
RDU,LAS,2026,1/10/2007,35.87764,-78.78747
SJU,FLL,1046,1/09/2007,18.43942,-66.00183
